"time","bus","location","direction","alg","count"
58,1,5.14581052088393,1,"rope",2
58,2,1.68651877760242,-1,"rope",0
58,3,3.24817594149569,1,"rope",0
58,4,2.85353935014276,-1,"rope",0
58,5,9.92229750036701,1,"rope",0
59,1,5.49002405569613,1,"rope",2
59,2,1.6382955078681,-1,"rope",0
59,3,3.80836354688385,1,"rope",0
59,4,2.72779293310155,-1,"rope",0
59,5,9.99333129685675,1,"rope",0
60,1,5.83423759050833,1,"rope",2
60,2,1.59007223813377,-1,"rope",0
60,3,4.06881577485183,1,"rope",0
60,4,2.60204651606035,-1,"rope",0
60,5,9.87689207608957,-1,"rope",0
61,1,6.17845112532053,1,"rope",2
61,2,1.54184896839945,-1,"rope",0
61,3,4.32926800281981,1,"rope",0
61,4,2.47630009901915,-1,"rope",0
61,5,9.76045285532238,-1,"rope",0
62,1,6.52266466013273,1,"rope",2
62,2,1.49362569866512,-1,"rope",0
62,3,4.58972023078779,1,"rope",0
62,4,2.35055368197794,-1,"rope",0
62,5,9.6440136345552,-1,"rope",0
63,1,6.86687819494493,1,"rope",2
63,2,1.4454024289308,-1,"rope",0
63,3,4.85017245875577,1,"rope",0
63,4,2.22480726493674,-1,"rope",0
63,5,9.52757441378802,-1,"rope",0
64,1,7.4466157203396,1,"rope",2
64,2,1.39717915919647,-1,"rope",0
64,3,4.97082844420607,1,"rope",0
64,4,2.09906084789554,-1,"rope",0
64,5,9.41113519302084,-1,"rope",0
65,1,8.48443669491883,1,"rope",0
65,2,1.34895588946215,-1,"rope",0
65,3,5.09148442965638,1,"rope",0
65,4,1.3274405595429,-1,"rope",0
65,5,9.29469597225365,-1,"rope",0
1,1,1,1,"chain",0
1,2,1,-1,"chain",0
1,3,5,1,"chain",0
1,4,5,-1,"chain",0
1,5,10,-1,"chain",0
2,1,1.3427757700326,1,"chain",0
2,2,1,-1,"chain",0
2,3,5.1159041406858,1,"chain",0
2,4,3.87354308853737,-1,"chain",0
2,5,9.65365456563524,-1,"chain",0
3,1,1.68555154006519,1,"chain",4
3,2,1,-1,"chain",0
3,3,5.23180828137159,1,"chain",0
3,4,3.42489308466147,-1,"chain",0
3,5,9.30730913127048,-1,"chain",0
4,1,2.35239166273196,1,"chain",8
4,2,1,-1,"chain",0
4,3,5.34771242205739,1,"chain",0
4,4,2.97624308078556,-1,"chain",0
4,5,8.96096369690572,-1,"chain",0
5,1,2.75359507707219,1,"chain",8
5,2,1,-1,"chain",0
5,3,5.46361656274319,1,"chain",0
5,4,2.52759307690966,-1,"chain",0
5,5,8.61461826254097,-1,"chain",0
6,1,3.15479849141241,1,"chain",8
6,2,1,-1,"chain",5
6,3,5.57952070342898,1,"chain",0
6,4,2.07894307303376,-1,"chain",0
6,5,8.26827282817621,-1,"chain",0
7,1,3.55600190575264,1,"chain",8
7,2,1.09235521045805,1,"chain",5
7,3,5.69542484411478,1,"chain",0
7,4,1.91357140177433,-1,"chain",0
7,5,7.2474917026503,-1,"chain",1
8,1,3.95720532009286,1,"chain",8
8,2,1.1847104209161,1,"chain",5
8,3,5.81132898480057,1,"chain",0
8,4,1.74819973051489,-1,"chain",0
8,5,6.72195020119685,-1,"chain",1
9,1,4.30462599496546,1,"chain",8
9,2,1.27706563137414,1,"chain",5
9,3,5.92723312548637,1,"chain",1
9,4,1.58282805925546,-1,"chain",0
9,5,6.19640869974339,-1,"chain",3
10,1,4.65204666983806,1,"chain",8
10,2,1.36942084183219,1,"chain",5
10,3,6.01624742777505,1,"chain",1
10,4,1.41745638799602,-1,"chain",0
10,5,5.22388541805828,-1,"chain",3
11,1,4.99946734471066,1,"chain",6
11,2,1.46177605229024,1,"chain",5
11,3,6.10526173006373,1,"chain",1
11,4,1.25208471673659,-1,"chain",0
11,5,4.74775070612626,-1,"chain",3
12,1,5.9491898951209,1,"chain",3
12,2,1.55413126274829,1,"chain",5
12,3,6.1942760323524,1,"chain",1
12,4,1.08671304547716,-1,"chain",5
12,5,4.27161599419424,-1,"chain",2
13,1,6.06528068064984,1,"chain",3
13,2,1.64648647320633,1,"chain",5
13,3,6.28329033464108,1,"chain",1
13,4,1.27588712709914,1,"chain",5
13,5,3.91253499633279,-1,"chain",2
14,1,6.18137146617878,1,"chain",3
14,2,1.73884168366438,1,"chain",5
14,3,6.37230463692976,1,"chain",1
14,4,1.46506120872112,1,"chain",5
14,5,3.55345399847133,-1,"chain",2
15,1,6.29746225170772,1,"chain",3
